,importance
vib_per_rpm,0.03553581419630185
rot_speed_rpm_m10,0.03305647500506705
torque_nm_m10,0.03258028522632873
wear_torque_m10,0.031018985316298167
rot_speed_rpm_m30,0.029829603115368666
power_w_m10,0.029499681342765857
wear_torque,0.028140233537900267
torque_nm_m30,0.026816285564378508
current_a_m10,0.02511729958584218
tool_wear_min,0.02314035312357707
torque_nm_m60,0.020118983709647462
wear_torque_m30,0.019761893768964225
air_temp_k_m10,0.01940456127151626
current_a_m30,0.01874241989639345
temp_diff_k_m10,0.01849353587720633
rot_speed_rpm_m60,0.0173919573187435
tool_wear_min_m10,0.017009341889714147
power_w_m30,0.015991432269324757
process_temp_k_m60,0.015768426965594873
air_temp_k,0.015759564594289347
air_temp_k_m30,0.01530845502777568
vibration_mms_m60,0.014106479312766955
air_temp_k_m60,0.013574352969344188
process_temp_k_m30,0.013294712618370473
vibration_mms_m10,0.012818019624612592
rot_speed_rpm,0.012590005123542938
vibration_mms_m30,0.012437276804738358
tool_wear_min_m30,0.012293189869266885
tool_wear_min_d10,0.012247934144821549
current_a_m60,0.01216877206018084
